product_id,product_name,description,price,category,brand_name,type,rating,
CRTSM01,Cartier Classic Mirage,A stylish and timeless smart watch designed for women who want the best of both worlds: technology and beauty.," 22000.00 ",Female,Cartier,Smart,4.8,
CRTS01,Cartier Daydream Essence,"A stylish quartz solar watch with a dreamy design, perfect for women who appreciate the finer things in life."," 190000.00 ",Female,Cartier,Solar,4.9,
CRTS02,Cartier Desert Rose,"This solar-powered watch features a bold, feminine design that captures the spirit of the desert."," 210000.00 ",Female,Cartier,Solar,4.8,
CRTS03,Cartier Everlasting Charm,A timeless design that blends traditional craftsmanship with the beauty of quartz solar technology.," 230000.00 ",Female,Cartier,Solar,4.9,
CRTS04,Cartier Luminous Allure,"A stunning analog quartz solar watch that combines brilliance and charm, perfect for the modern woman."," 195000.00 ",Female,Cartier,Solar,4.9,
CRTA01,Cartier Moonlight Classic,This analog watch combines the mystique of the moon with fine craftsmanship for a truly celestial look.," 220000.00 ",Female,Cartier,Analog,4.7,
CRTS05,Cartier Pearl Solar,"An elegant quartz solar watch, perfect for the refined woman who appreciates both beauty and sustainability."," 160000.00 ",Female,Cartier,Solar,4.8,
CRTQ01,Cartier Royal Quartz,"With its royal design and quartz movement, this watch is a true statement of sophistication."," 150000.00 ",Female,Cartier,Quartz,4.8,
CRTSM02,Cartier Twilight,"An exquisite smart watch designed to meet the needs of a modern woman, combining technology with style."," 22000.00 ",Female,Cartier,Smart,4.7,
CRTS06,Cartier Velvet Glow,This elegant quartz solar watch radiates a feminine charm with its glowing dial and delicate design.," 175000.00 ",Female,Cartier,Solar,4.8,
CASD01,Cassio Adventure Series,"Perfect for outdoor enthusiasts, this rugged watch offers both digital timekeeping and built-in GPS."," 12000.00 ",Male,Cassio,Digital,4.5,
CASSM01,Cassio AllureSmart,"Combining style with technology, this smart watch brings the future of fashion to your wrist."," 16500.00 ",Male,Cassio,Smart,4.7,
CASD02,Cassio Digital Maverick,A rugged digital watch built for the modern man who needs precision and durability.," 10000.00 ",Male,Cassio,Digital,4.6,
CASSM02,Cassio EdgeSmart,"A smart digital watch for the man on the move, featuring health monitoring and seamless connectivity."," 15000.00 ",Male,Cassio,Smart,4.7,
CASD03,Cassio Galaxy Grit,"Designed to withstand the test of time, this durable digital watch is perfect for adventurous souls."," 7000.00 ",Male,Cassio,Digital,4.5,
CASD04,Cassio Infinite Horizon,"A digital watch designed to keep you connected wherever you go, with durable materials for long-lasting use."," 9000.00 ",Male,Cassio,Digital,4.5,
CASD05,Cassio IronGlide Digital,A highly durable and versatile digital watch perfect for the man on the move.," 11000.00 ",Male,Cassio,Digital,4.6,
CASSM03,Cassio Quantum Shift,"A sleek, modern smart watch with innovative technology that adapts to your needs and lifestyle."," 14500.00 ",Male,Cassio,Smart,4.6,
CASS01,Cassio Solar Vision,A solar-powered watch with digital features designed for the eco-conscious adventurer.," 8000.00 ",Male,Cassio,Solar,4.6,
CASS02,Cassio Solar Wave,"Powered by solar energy, this digital watch is a reliable and sustainable option for any man."," 9500.00 ",Male,Cassio,Solar,4.7,
FSLS01,Fossil Classic Solar,"Solar-powered, sleek, and always on time. This watch is for the eco-conscious who demand style and precision."," 10000.00 ",Female,Fossil,Solar,4.6,
FSLS02,Fossil EcoPower Classic,"With eco-friendly solar power and a timeless design, this watch is the perfect choice for the sustainable man."," 12000.00 ",Male,Fossil,Solar,4.7,
FSLA01,Fossil Eternity Timepiece,"A sophisticated analog watch with a solar-powered movement, delivering classic beauty and high performance."," 18000.00 ",Female,Fossil,Analog,4.8,
FSLD01,Fossil Horizon Digital,A digital watch that brings clarity and precision with an intuitive interface and sleek design.," 9500.00 ",Female,Fossil,Digital,4.7,
FSLS03,Fossil Infinite Glow,An elegant analog solar-powered watch that gives you the timeless look with an eco-conscious edge.," 14000.00 ",Female,Fossil,Solar,4.8,
FSLQ01,Fossil Radiance Quartz,An elegant watch with a quartz movement and classic design that will complement your everyday style.," 13500.00 ",Female,Fossil,Quartz,4.8,
FSLSM01,Fossil Radiant Spark,"A smart watch that brings style and connectivity to your wrist, offering all the latest features for women."," 19000.00 ",Female,Fossil,Smart,4.8,
FSLSM02,Fossil SmartGlow Fusion,"A modern smart watch with features that cater to your lifestyle, all in a sleek and stylish design."," 21000.00 ",Female,Fossil,Smart,4.9,
FSLS04,Fossil Solar Minimalist,This sleek solar-powered watch delivers on style with minimalist design and eco-friendly features.," 10000.00 ",Female,Fossil,Solar,4.7,
FSLSM03,Fossil UrbanSmart,"A perfect fusion of elegance and technology, this smart watch is designed for the modern, connected woman."," 20000.00 ",Female,Fossil,Smart,4.8,
OMGD01,Omega Eclipse Digital,A digital watch that gives you a glimpse of the future with its futuristic design and advanced features.," 23000.00 ",Male,Omega,Digital,4.8,
OMGD02,Omega Edge,"A durable and sharp digital watch that offers precision and features for the active, stylish man."," 25000.00 ",Male,Omega,Digital,4.7,
OMGSM01,Omega Infinity,"Designed for the modern era, this smart watch blends cutting-edge technology with seamless style."," 30000.00 ",Male,Omega,Smart,4.6,
OMGSM02,Omega Infinity Smart,"A smart watch that offers everything from fitness tracking to notifications, designed to fit your lifestyle."," 32000.00 ",Male,Omega,Smart,4.7,
OMGD03,Omega LunarTech,A digital watch with innovative features and a futuristic look designed for the adventurous spirit.," 24000.00 ",Male,Omega,Digital,4.7,
OMGD04,Omega Pulse,"A refined digital watch with advanced features for the modern man, combining performance and style."," 20000.00 ",Male,Omega,Digital,4.6,
OMGD05,Omega StormTracker,"Combining technology and durability, this digital watch is built for those who love the thrill of the outdoors."," 28000.00 ",Male,Omega,Digital,4.8,
OMGA01,Omega TechnoPower,This robust analog watch features advanced materials for tech-savvy men with a taste for adventure.," 185000.00 ",Male,Omega,Analog,4.8,
OMGD06,Omega Ultra Digital,A cutting-edge digital watch designed for those who seek precision and performance in their everyday life.," 22000.00 ",Male,Omega,Digital,4.7,
OMGA02,Omega Vision,An analog watch that balances style and functionality with a polished steel case and sophisticated dial.," 180000.00 ",Male,Omega,Analog,4.8,
RLZA01,Rolex Executive Excellence,A sophisticated and powerful timepiece made for the man who wants to stand out with a classic design.," 300000.00 ",Male,Rolex,Analog,4.9,
RLZA02,Rolex Grand Reserve,"With a refined design and the finest Swiss engineering, this watch exudes prestige and timeless elegance."," 320000.00 ",Male,Rolex,Analog,5,
RLZA03,Rolex Majestic Gaze,A luxurious and powerful watch that brings a sense of royalty to your wrist with its analog precision.," 350000.00 ",Male,Rolex,Analog,5,
RLZA04,Rolex Nautical Master,"A perfect blend of traditional craftsmanship and nautical inspiration, ideal for the sea-loving man."," 340000.00 ",Male,Rolex,Analog,5,
RLZA05,Rolex Oceanic Pulse,"A masterpiece of analog craftsmanship with an ocean-inspired design, perfect for those who love the sea."," 265000.00 ",Male,Rolex,Analog,4.9,
RLZA06,Rolex Signature Precision,"A true icon in timekeeping, this analog watch is made for those who cherish accuracy and luxury."," 280000.00 ",Male,Rolex,Analog,4.9,
RLZA07,Rolex Sky Walker,"With an aviation-inspired design, this watch offers unmatched style and precision."," 310000.00 ",Male,Rolex,Analog,5,
RLZA08,Rolex Stellar Chrono,"This watch offers a stellar performance with an elegant design, perfect for any occasion."," 3000000.00 ",Male,Rolex,Analog,5,
RLZA09,Rolex Timekeeper,"A luxurious analog watch with a timeless design, featuring sleek craftsmanship and precision."," 2500000.00 ",Male,Rolex,Analog,4.9,
RLZA10,Rolex Timeless Elite,"The epitome of elegance and craftsmanship, this watch offers classic design with modern precision."," 290000.00 ",Male,Rolex,Analog,4.9,
